author,name,url,description,language,spoken_language,stars
datguypiko,Firefox-Mod-Blur,https://github.com/datguypiko/Firefox-Mod-Blur,Firefox Theme - For dark theme lovers / More compact / Modular / Blur,CSS,English,1053
kepano,obsidian-minimal,https://github.com/kepano/obsidian-minimal,A distraction-free and highly customizable theme for Obsidian.,CSS,English,3398
septiandwica,kado,https://github.com/septiandwica/kado,flower,CSS,English,246
rafaelmardojai,firefox-gnome-theme,https://github.com/rafaelmardojai/firefox-gnome-theme,A GNOME👣 theme for Firefox🔥,CSS,English,3248
AnubisNekhet,AnuPpuccin,https://github.com/AnubisNekhet/AnuPpuccin,Personal theme for Obsidian,CSS,English,1845
amyyalex,simple-contribution,https://github.com/amyyalex/simple-contribution,This is a very simple project to help first-time contributors to easily participate in an open-source project.,CSS,English,56
ryanoasis,nerd-fonts,https://github.com/ryanoasis/nerd-fonts,"Iconic font aggregator, collection, & patcher. 3,600+ icons, 50+ patched fonts: Hack, Source Code Pro, more. Glyph collections: Font Awesome, Material Design Icons, Octicons, & more",CSS,English,51891
spicetify,spicetify-themes,https://github.com/spicetify/spicetify-themes,A community-driven collection of themes for customizing Spotify through Spicetify - https://github.com/spicetify/cli,CSS,English,4747
yaoyao-liu,minimal-light,https://github.com/yaoyao-liu/minimal-light,A simple and elegant Jekyll theme for an academic personal homepage,CSS,English,508
GuangLun2000,GuangLun2000.github.io,https://github.com/GuangLun2000/GuangLun2000.github.io,"(Minimalism Style) Powered by Jekyll, based on the Minimal Mistakes theme and Jason Ansel's website",CSS,English,419
ferdium,ferdium-recipes,https://github.com/ferdium/ferdium-recipes,Recipes encapsulate your favourite apps into Ferdium for unified notifications handling and more,CSS,English,70
adobe,spectrum-css,https://github.com/adobe/spectrum-css,The standard CSS implementation of the Spectrum design language.,CSS,English,1158
Concept-Collective,cc-chat,https://github.com/Concept-Collective/cc-chat,A chat theme for FiveM & RedM,CSS,English,65
efemkay,obsidian-modular-css-layout,https://github.com/efemkay/obsidian-modular-css-layout,CSS Layout hack for Obsidian.md,CSS,English,799
primefaces,sakai-vue,https://github.com/primefaces/sakai-vue,,CSS,English,436
tiann,KernelSU,https://github.com/tiann/KernelSU,A Kernel based root solution for Android,Kotlin,English,8544
android,nowinandroid,https://github.com/android/nowinandroid,A fully functional Android app built entirely with Kotlin and Jetpack Compose,Kotlin,English,15571
yairm210,Unciv,https://github.com/yairm210/Unciv,Open-source Android/Desktop remake of Civ V,Kotlin,English,7820
YiiGuxing,TranslationPlugin,https://github.com/YiiGuxing/TranslationPlugin,Translation plugin for IntelliJ based IDEs/Android Studio.,Kotlin,English,10967
skydoves,chatgpt-android,https://github.com/skydoves/chatgpt-android,📲 ChatGPT Android demonstrates a Chatbot application using OpenAI's chat API on Android with Stream Chat SDK for Compose.,Kotlin,English,3561
celzero,rethink-app,https://github.com/celzero/rethink-app,"DNS over HTTPS / DNS over Tor / DNSCrypt client, WireGuard proxifier, firewall, and connection tracker for Android.",Kotlin,English,2483
chenxiaolong,BCR,https://github.com/chenxiaolong/BCR,A Basic Call Recorder for rooted Android devices,Kotlin,English,1432
libre-tube,LibreTube,https://github.com/libre-tube/LibreTube,"An alternative frontend for YouTube, for Android.",Kotlin,English,7845
pedroSG94,RootEncoder,https://github.com/pedroSG94/RootEncoder,"RootEncoder for Android (rtmp-rtsp-stream-client-java) is a stream encoder to push video/audio to media servers using protocols RTMP, RTSP, SRT and UDP with all code written in Java/Kotlin",Kotlin,English,2409
keymapperorg,KeyMapper,https://github.com/keymapperorg/KeyMapper,**DEVELOPMENT STOPPED**.📱 An Android app that change what the buttons do on your devices!,Kotlin,English,923
android,snippets,https://github.com/android/snippets,Main repository for snippets surfaced on developer.android.com.,Kotlin,English,523
dead8309,Kizzy,https://github.com/dead8309/Kizzy,Discord Rich Presence for Android. Made with jetpack compose and material3,Kotlin,English,491
stripe,stripe-android,https://github.com/stripe/stripe-android,Stripe Android SDK,Kotlin,English,1222
kylecorry31,Trail-Sense,https://github.com/kylecorry31/Trail-Sense,An Android app that uses your phone's sensors to assist with wilderness treks or survival situations.,Kotlin,English,979
pinterest,ktlint,https://github.com/pinterest/ktlint,An anti-bikeshedding Kotlin linter with built-in formatter,Kotlin,English,6033
flipperdevices,Flipper-Android-App,https://github.com/flipperdevices/Flipper-Android-App,Android Mobile app to rule all Flipper's family,Kotlin,English,1330
recloudstream,cloudstream,https://github.com/recloudstream/cloudstream,Android app for streaming and downloading media.,Kotlin,English,5646
Hamza417,Inure,https://github.com/Hamza417/Inure,"An elegant and beautiful premium Android app manager for both rooted and non-rooted devices with a built-in terminal, analytics, debloat, stats and various other panels with an independent custom theme engine, developed with purely custom APIs created for this app.",Kotlin,English,904
SmartToolFactory,Jetpack-Compose-Tutorials,https://github.com/SmartToolFactory/Jetpack-Compose-Tutorials,"🚀🧨📝 Series of Tutorials to learn about Jetpack Compose with subjects Material Widgets, Layout, SubcomposeLayout, custom layouts, State, custom rememberable, recomposition, LaunchedEffect, side-effects, Gesture, Animation, Navigation, Canvas, UIs like whatsapp and others.",Kotlin,English,2561
patrykandpatrick,vico,https://github.com/patrykandpatrick/vico,A light and extensible chart library for Android.,Kotlin,English,1860
intellij-rust,intellij-rust,https://github.com/intellij-rust/intellij-rust,Rust plugin for the IntelliJ Platform,Kotlin,English,4521
rickclephas,KMP-NativeCoroutines,https://github.com/rickclephas/KMP-NativeCoroutines,Library to use Kotlin Coroutines from Swift code in KMP apps,Kotlin,English,976
mockk,mockk,https://github.com/mockk/mockk,mocking library for Kotlin,Kotlin,English,5300
andvipgroup,VCamera,https://github.com/andvipgroup/VCamera,,Kotlin,English,177
burhanrashid52,PhotoEditor,https://github.com/burhanrashid52/PhotoEditor,"A Photo Editor library with simple, easy support for image editing using paints,text,filters,emoji and Sticker like stories.",Kotlin,English,4040
flutter,samples,https://github.com/flutter/samples,A collection of Flutter examples and demos,Dart,English,16692
ente-io,ente,https://github.com/ente-io/ente,"Fully open source, End to End Encrypted alternative to Google Photos and Apple Photos",Dart,English,8338
leoafarias,fvm,https://github.com/leoafarias/fvm,Flutter Version Management: A simple CLI to manage Flutter SDK versions.,Dart,English,4344
ReVanced,revanced-manager,https://github.com/ReVanced/revanced-manager,💊 Application to use ReVanced on Android,Dart,English,16096
fzyzcjy,flutter_rust_bridge,https://github.com/fzyzcjy/flutter_rust_bridge,"Flutter/Dart <-> Rust binding generator, feature-rich, but seamless and simple.",Dart,English,3627
ImranR98,Obtainium,https://github.com/ImranR98/Obtainium,Get Android app updates straight from the source.,Dart,English,5434
pichillilorenzo,flutter_inappwebview,https://github.com/pichillilorenzo/flutter_inappwebview,"A Flutter plugin that allows you to add an inline webview, to use a headless webview, and to open an in-app browser window.",Dart,English,3017
JideGuru,FlutterEbookApp,https://github.com/JideGuru/FlutterEbookApp,A simple Flutter app to Read and Download eBooks.,Dart,English,2814
bizz84,flutter-tips-and-tricks,https://github.com/bizz84/flutter-tips-and-tricks,My Flutter Tips & Tricks on Twitter 👇,Dart,English,1865
Suwayomi,Tachidesk-Sorayomi,https://github.com/Suwayomi/Tachidesk-Sorayomi,A free and open source manga reader app to read manga from a Tachidesk-Server instance.,Dart,English,723
LinwoodDev,Butterfly,https://github.com/LinwoodDev/Butterfly,"🎨 Powerful, minimalistic, cross-platform, opensource note-taking app",Dart,English,864
realm,realm-dart,https://github.com/realm/realm-dart,Realm is a mobile database: a replacement for SQLite & ORMs.,Dart,English,724
flutter-stripe,flutter_stripe,https://github.com/flutter-stripe/flutter_stripe,Flutter SDK for Stripe.,Dart,English,893
juliansteenbakker,mobile_scanner,https://github.com/juliansteenbakker/mobile_scanner,A universal scanner for Flutter based on MLKit. Uses CameraX on Android and AVFoundation on iOS.,Dart,English,756
vandadnp,flutter-tips-and-tricks,https://github.com/vandadnp/flutter-tips-and-tricks,A Collection of Flutter and Dart Tips and Tricks,Dart,English,6616
fluttercommunity,font_awesome_flutter,https://github.com/fluttercommunity/font_awesome_flutter,The Font Awesome Icon pack available as Flutter Icons,Dart,English,824
KRTirtho,spotube,https://github.com/KRTirtho/spotube,🎧 Open source Spotify client that doesn't require Premium nor uses Electron! Available for both desktop & mobile!,Dart,English,25011
AppsFlyerSDK,appsflyer-flutter-plugin,https://github.com/AppsFlyerSDK/appsflyer-flutter-plugin,Flutter Plugin for AppsFlyer SDK,Dart,English,139
sail-tunnel,sail,https://github.com/sail-tunnel/sail,A flutter demo client application for v2board.,Dart,English,440
invertase,melos,https://github.com/invertase/melos,"🌋 A tool for managing Dart projects with multiple packages. With IntelliJ and Vscode IDE support. Supports automated versioning, changelogs & publishing via Conventional Commits.",Dart,English,1044
iluwatar,java-design-patterns,https://github.com/iluwatar/java-design-patterns,Design patterns implemented in Java,Java,English,87413
redisson,redisson,https://github.com/redisson/redisson,"Redisson - Easy Valkey/Redis Java client and Real-Time Data Platform. Sync/Async/RxJava/Reactive API. Over 50 Redis based Java objects and services: Set, Multimap, SortedSet, Map, List, Queue, Deque, Semaphore, Lock, AtomicLong, Map Reduce, Bloom filter, Spring Cache, Tomcat, Scheduler, JCache API, Hibernate, RPC, local cache ...",Java,English,22826
TheoKanning,openai-java,https://github.com/TheoKanning/openai-java,OpenAI Api Client in Java,Java,English,4626
apache,shardingsphere,https://github.com/apache/shardingsphere,"Distributed SQL transaction & query engine for data sharding, scaling, encryption, and more - on any database.",Java,English,19497
amitshekhariitbhu,android-interview-questions,https://github.com/amitshekhariitbhu/android-interview-questions,Your Cheat Sheet For Android Interview - Android Interview Questions and Answers,Java,English,10963
apache,flink-cdc,https://github.com/apache/flink-cdc,Flink CDC is a streaming data integration tool,Java,English,5360
OpenAPITools,openapi-generator,https://github.com/OpenAPITools/openapi-generator,"OpenAPI Generator allows generation of API client libraries (SDK generation), server stubs, documentation and configuration automatically given an OpenAPI Spec (v2, v3)",Java,English,20163
IrisShaders,Iris,https://github.com/IrisShaders/Iris,A modern shaders mod for Minecraft compatible with existing OptiFine shader packs,Java,English,3129
gyoogle,tech-interview-for-developer,https://github.com/gyoogle/tech-interview-for-developer,👶🏻 신입 개발자 전공 지식 & 기술 면접 백과사전 📖,Java,English,13690
datahub-project,datahub,https://github.com/datahub-project/datahub,The Metadata Platform for your Data Stack,Java,English,9299
apache,cloudstack,https://github.com/apache/cloudstack,Apache CloudStack is an opensource Infrastructure as a Service (IaaS) cloud computing platform,Java,English,1788
in28minutes,master-spring-and-spring-boot,https://github.com/in28minutes/master-spring-and-spring-boot,Spring and Spring Boot Tutorial For Absolute Beginners - 10-in-1 - Spring to Spring Boot to REST API to Full Stack to Containers to Cloud,Java,English,1096
provectus,kafka-ui,https://github.com/provectus/kafka-ui,Open-Source Web UI for Apache Kafka Management,Java,English,8709
apache,kafka,https://github.com/apache/kafka,Mirror of Apache Kafka,Java,English,27569
karatelabs,karate,https://github.com/karatelabs/karate,Test Automation Made Simple,Java,English,7904
Team-xManager,xManager,https://github.com/Team-xManager/xManager,"Ad-Free, New Features & Freedom",Java,English,8550
SeleniumHQ,selenium,https://github.com/SeleniumHQ/selenium,A browser automation framework and ecosystem.,Java,English,29491
bitcoin-wallet,bitcoin-wallet,https://github.com/bitcoin-wallet/bitcoin-wallet,"Bitcoin Wallet app for your Android device. Standalone Bitcoin node, no centralized backend required.",Java,English,3585
apache,dolphinscheduler,https://github.com/apache/dolphinscheduler,Apache DolphinScheduler is the modern data orchestration platform. Agile to create high performance workflow with low-code,Java,English,12248
cryptomator,cryptomator,https://github.com/cryptomator/cryptomator,Multi-platform transparent client-side encryption of your files in the cloud,Java,English,10760
apache,hbase,https://github.com/apache/hbase,Apache HBase,Java,English,5130
